default,housing,loan,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.conf.idx,euribor3m,nr.employed,admin.,blue-collar,entrepreneur,retired,services,student,unemployed,divorced,married,single,basic.4y,basic.6y,basic.9y,university.degree,unknown_education,cellular,telephone,Adult,Elderly,Young,apr,dec,jul,mar,may,nov,oct,sep,mon,thu,y
2.57569277,0.917615317,-0.44237632,-0.011624363,-0.541187105,0.424020201,-0.507852191,-0.026473576,1.294615378,-0.490398056,1.253402439,1.238373678,-0.637980026,-0.452997904,-0.181850455,-0.220942649,-0.296313604,-0.228180007,-0.180114409,-0.334713601,0.895811295,-0.721110255,-0.297488418,-0.219963124,-0.352576236,-0.741671156,4.31098775,-1.688709504,1.688709504,0.255047354,-0.173018135,-0.181850455,-0.329611268,-0.118062144,2.593618877,-0.225788379,-0.563742302,-0.336886089,-0.233372281,-0.204812171,-0.495884704,-0.535568352,0
-0.386906639,0.917615317,-0.44237632,2.015169388,-0.100200589,0.424020201,-0.507852191,-0.026473576,1.119858432,0.614361317,1.197200398,0.81832072,1.567447192,-0.452997904,-0.181850455,-0.220942649,-0.296313604,-0.228180007,-0.180114409,-0.334713601,-1.116306532,1.386750491,-0.297488418,-0.219963124,-0.352576236,-0.741671156,-0.2319654,-1.688709504,1.688709504,0.255047354,-0.173018135,-0.181850455,-0.329611268,-0.118062144,-0.38556166,-0.225788379,1.773860142,-0.336886089,-0.233372281,-0.204812171,-0.495884704,-0.535568352,0
-0.386906639,0.917615317,-0.44237632,-0.240933145,1.663745476,0.424020201,-0.507852191,-0.026473576,1.294615378,-0.490398056,1.252867181,1.238373678,-0.637980026,-0.452997904,-0.181850455,-0.220942649,3.374802869,-0.228180007,-0.180114409,-0.334713601,0.895811295,-0.721110255,-0.297488418,-0.219963124,-0.352576236,-0.741671156,-0.2319654,0.59216816,-0.59216816,0.255047354,-0.173018135,-0.181850455,-0.329611268,-0.118062144,2.593618877,-0.225788379,-0.563742302,-0.336886089,-0.233372281,-0.204812171,2.016597795,-0.535568352,0
2.57569277,-1.11611578,2.364577228,0.336037339,-0.541187105,0.424020201,-0.507852191,-0.026473576,1.119858432,0.614361317,1.199341428,0.81832072,-0.637980026,-0.452997904,-0.181850455,-0.220942649,3.374802869,-0.228180007,-0.180114409,-0.334713601,0.895811295,-0.721110255,-0.297488418,-0.219963124,-0.352576236,-0.741671156,-0.2319654,-1.688709504,1.688709504,0.255047354,-0.173018135,-0.181850455,-0.329611268,-0.118062144,-0.38556166,-0.225788379,1.773860142,-0.336886089,-0.233372281,-0.204812171,-0.495884704,1.867175303,0
-0.386906639,0.917615317,-0.44237632,-0.965844778,-0.541187105,0.424020201,-0.507852191,-0.026473576,1.294615378,0.666968906,1.258219757,1.238373678,1.567447192,-0.452997904,-0.181850455,-0.220942649,-0.296313604,-0.228180007,-0.180114409,-0.334713601,0.895811295,-0.721110255,-0.297488418,-0.219963124,-0.352576236,-0.741671156,-0.2319654,0.59216816,-0.59216816,0.255047354,-0.173018135,-0.181850455,-0.329611268,-0.118062144,-0.38556166,-0.225788379,-0.563742302,-0.336886089,-0.233372281,-0.204812171,2.016597795,-0.535568352,0
-0.386906639,0.917615317,-0.44237632,0.520963776,0.340785927,0.424020201,0.775514239,-1.95223714,0.42083065,-0.367647014,0.841254136,0.872667195,-0.637980026,2.207515735,-0.181850455,-0.220942649,-0.296313604,-0.228180007,-0.180114409,-0.334713601,0.895811295,-0.721110255,-0.297488418,-0.219963124,2.836266027,-0.741671156,-0.2319654,-1.688709504,1.688709504,0.255047354,-0.173018135,-0.181850455,-0.329611268,-0.118062144,-0.38556166,-0.225788379,-0.563742302,2.9683624,-0.233372281,-0.204812171,2.016597795,-0.535568352,0
-0.386906639,-1.11611578,2.364577228,-0.936256548,2.545718508,0.424020201,-0.507852191,-0.026473576,1.294615378,-0.490398056,1.254472954,1.238373678,1.567447192,-0.452997904,-0.181850455,-0.220942649,-0.296313604,-0.228180007,-0.180114409,-0.334713601,0.895811295,-0.721110255,-0.297488418,-0.219963124,-0.352576236,1.348306446,-0.2319654,0.59216816,-0.59216816,0.255047354,-0.173018135,-0.181850455,-0.329611268,-0.118062144,2.593618877,-0.225788379,-0.563742302,-0.336886089,-0.233372281,-0.204812171,-0.495884704,-0.535568352,0
-0.386906639,0.917615317,-0.44237632,0.350831454,1.22275896,0.424020201,-0.507852191,-0.026473576,1.119858432,0.614361317,1.19666514,0.81832072,1.567447192,-0.452997904,-0.181850455,-0.220942649,-0.296313604,-0.228180007,-0.180114409,-0.334713601,-1.116306532,1.386750491,-0.297488418,-0.219963124,-0.352576236,1.348306446,-0.2319654,-1.688709504,1.688709504,0.255047354,-0.173018135,-0.181850455,-0.329611268,-0.118062144,-0.38556166,-0.225788379,1.773860142,-0.336886089,-0.233372281,-0.204812171,-0.495884704,-0.535568352,0
-0.386906639,-1.11611578,-0.44237632,-1.150771215,0.340785927,0.424020201,-0.507852191,-0.026473576,1.119858432,0.614361317,1.197200398,0.81832072,1.567447192,-0.452997904,-0.181850455,-0.220942649,-0.296313604,-0.228180007,-0.180114409,-0.334713601,0.895811295,-0.721110255,-0.297488418,-0.219963124,-0.352576236,-0.741671156,-0.2319654,-1.688709504,1.688709504,0.255047354,-0.173018135,-0.181850455,-0.329611268,-0.118062144,-0.38556166,-0.225788379,1.773860142,-0.336886089,-0.233372281,-0.204812171,-0.495884704,-0.535568352,0
-0.386906639,0.917615317,-0.44237632,-1.616785836,3.868678057,0.424020201,-0.507852191,-0.026473576,1.119858432,0.614361317,1.19880617,0.81832072,-0.637980026,2.207515735,-0.181850455,-0.220942649,-0.296313604,-0.228180007,-0.180114409,2.987628813,-1.116306532,-0.721110255,-0.297488418,-0.219963124,2.836266027,-0.741671156,-0.2319654,-1.688709504,1.688709504,0.255047354,-0.173018135,-0.181850455,-0.329611268,-0.118062144,-0.38556166,-0.225788379,1.773860142,-0.336886089,-0.233372281,-0.204812171,-0.495884704,-0.535568352,0
-0.386906639,0.917615317,2.364577228,-0.04860965,1.22275896,0.424020201,-0.507852191,-0.026473576,1.119858432,0.614361317,1.197735655,0.81832072,1.567447192,-0.452997904,-0.181850455,-0.220942649,-0.296313604,-0.228180007,-0.180114409,-0.334713601,-1.116306532,1.386750491,-0.297488418,-0.219963124,-0.352576236,1.348306446,-0.2319654,-1.688709504,1.688709504,0.255047354,-0.173018135,-0.181850455,-0.329611268,-0.118062144,-0.38556166,-0.225788379,1.773860142,-0.336886089,-0.233372281,-0.204812171,2.016597795,-0.535568352,0
-0.386906639,-1.11611578,-0.44237632,-0.174359627,0.340785927,0.424020201,-0.507852191,-0.026473576,1.294615378,0.666968906,1.256078727,1.238373678,-0.637980026,-0.452997904,-0.181850455,-0.220942649,-0.296313604,-0.228180007,-0.180114409,-0.334713601,0.895811295,-0.721110255,-0.297488418,-0.219963124,-0.352576236,-0.741671156,-0.2319654,0.59216816,-0.59216816,0.255047354,-0.173018135,-0.181850455,-0.329611268,-0.118062144,-0.38556166,-0.225788379,-0.563742302,-0.336886089,-0.233372281,-0.204812171,-0.495884704,-0.535568352,0
-0.386906639,0.917615317,-0.44237632,-0.832697743,-0.100200589,0.424020201,-0.507852191,-0.026473576,1.294615378,0.666968906,1.254472954,1.238373678,1.567447192,-0.452997904,-0.181850455,-0.220942649,-0.296313604,-0.228180007,-0.180114409,-0.334713601,-1.116306532,1.386750491,-0.297488418,-0.219963124,-0.352576236,1.348306446,-0.2319654,0.59216816,-0.59216816,0.255047354,-0.173018135,-0.181850455,-0.329611268,-0.118062144,-0.38556166,-0.225788379,-0.563742302,-0.336886089,-0.233372281,-0.204812171,-0.495884704,1.867175303,0
-0.386906639,0.917615317,-0.44237632,0.291654994,-0.541187105,0.424020201,-0.507852191,-0.026473576,-0.569458709,-1.104153263,-0.706710658,-0.222187819,-0.637980026,-0.452997904,-0.181850455,-0.220942649,3.374802869,-0.228180007,-0.180114409,-0.334713601,0.895811295,-0.721110255,-0.297488418,-0.219963124,-0.352576236,-0.741671156,-0.2319654,0.59216816,-0.59216816,0.255047354,-0.173018135,-0.181850455,-0.329611268,-0.118062144,-0.38556166,-0.225788379,1.773860142,-0.336886089,-0.233372281,-0.204812171,2.016597795,-0.535568352,0
